Algorithm;Input;Solution;Time
greedy;294;3830.0;6.36923076923077e-05
greedy;295;3977.0;3.692307692307692e-05
greedy;296;3880.0;3.6230769230769235e-05
greedy;297;4027.0;5.1e-05
greedy;298;3992.0;4.0769230769230773e-05
greedy;299;4020.0;5.007692307692307e-05
greedy;3;58.0;4.230769230769231e-06
greedy;30;641.0;6.076923076923076e-06
greedy;300;3806.0;4.223076923076923e-05
greedy;3000;11396.0;0.0004760769230769231
greedy;30000;30737.0;0.0051557692307692285
greedy;300000;47974.0;0.041278923076923074
greedy;301;4104.0;5.7692307692307704e-05
greedy;302;3884.0;4.084615384615385e-05
greedy;303;3948.0;5.615384615384615e-05
greedy;304;4148.0;4.7153846153846155e-05
greedy;305;4074.0;3.869230769230769e-05
greedy;306;3727.0;4.3307692307692304e-05
greedy;307;3799.0;3.784615384615384e-05
greedy;308;3815.0;4.046153846153845e-05
greedy;309;4067.0;4.6461538461538454e-05
greedy;31;938.0;6.615384615384615e-06
greedy;310;4028.0;5.415384615384615e-05
greedy;31000;30199.0;0.004587384615384616
greedy;311;4126.0;4.207692307692307e-05
greedy;312;3677.0;3.8307692307692305e-05
greedy;313;4001.0;4.946153846153847e-05
greedy;314;3816.0;3.7999999999999995e-05
greedy;315;4656.0;3.807692307692308e-05
greedy;316;4145.0;5.4307692307692294e-05
greedy;317;4260.0;3.9153846153846164e-05
greedy;318;3844.0;4.338461538461539e-05
greedy;319;3986.0;4.2999999999999995e-05
greedy;32;697.0;7.92307692307692e-06
greedy;320;4283.0;4.7923076923076926e-05
greedy;32000;30525.0;0.0050691538461538465
greedy;321;4060.0;5.9923076923076926e-05
greedy;322;4005.0;4.4846153846153845e-05
greedy;323;3939.0;4.130769230769232e-05
greedy;324;4101.0;4.2923076923076926e-05
greedy;325;4277.0;3.992307692307693e-05
greedy;326;4336.0;4.315384615384616e-05
greedy;327;4350.0;5.023076923076922e-05
greedy;328;3963.0;4.876923076923077e-05
greedy;329;4117.0;4.415384615384615e-05
greedy;33;794.0;7.076923076923077e-06
greedy;330;4114.0;4.438461538461538e-05
greedy;33000;30797.0;0.005308000000000001
greedy;331;4170.0;4.3692307692307696e-05
greedy;332;4467.0;4.3692307692307696e-05
greedy;333;3932.0;3.961538461538462e-05
greedy;334;3817.0;5.246153846153846e-05
greedy;335;4431.0;4.599999999999999e-05
